time,open,high,low,close,volume
2023-05-26 07:00:00,8.6,8.6,8.6,8.6,100
2023-06-02 07:00:00,8.6,9.5,8.6,9.5,3207
2023-06-09 07:00:00,9.1,9.1,9.1,9.1,300
2023-06-16 07:00:00,10.2,10.2,9.1,9.1,700
2023-06-23 07:00:00,8.0,8.2,8.0,8.2,600
2023-07-07 07:00:00,8.1,8.1,8.1,8.2,20
2023-07-14 07:00:00,9.3,9.3,9.3,9.3,101
2023-07-21 07:00:00,8.0,8.0,8.0,8.0,600
2023-08-04 07:00:00,9.0,9.0,7.1,7.1,270
2023-08-11 07:00:00,8.1,8.2,8.1,8.1,549
2023-08-18 07:00:00,8.1,8.1,8.1,8.1,400
2023-08-25 07:00:00,8.0,8.9,8.0,8.9,1100
2023-09-08 07:00:00,9.5,9.5,9.5,9.5,303
2023-09-15 07:00:00,10.0,10.0,10.0,10.0,5115
2023-09-22 07:00:00,10.9,10.9,10.8,10.8,212
2023-09-29 07:00:00,10.0,10.0,10.0,10.0,1008
2023-10-06 07:00:00,10.0,10.0,10.0,10.0,3
2023-10-13 07:00:00,10.0,10.0,10.0,10.0,400
2023-10-20 07:00:00,10.0,10.5,8.5,10.5,1021
2023-10-27 07:00:00,10.0,10.0,10.0,10.0,100
2023-11-03 07:00:00,10.0,10.0,10.0,10.0,200
2023-11-10 07:00:00,9.9,10.0,9.0,9.0,2650
2023-11-17 07:00:00,9.0,9.0,8.5,8.5,3500
2023-11-24 07:00:00,8.6,8.6,8.6,8.5,2
2023-12-08 07:00:00,8.8,8.9,8.8,8.9,1000
2024-12-09 07:00:00,8.8,8.8,8.8,8.8,100
2024-12-10 07:00:00,8.8,8.8,8.8,8.8,101
2024-12-11 07:00:00,8.8,8.8,8.8,8.8,2
2024-12-12 07:00:00,8.8,8.8,8.8,8.8,200
2024-12-16 07:00:00,10.1,10.1,10.1,10.1,1002
2024-12-17 07:00:00,10.1,11.6,10.1,11.6,2400
2024-12-18 07:00:00,12.8,12.8,12.8,12.8,111
2024-12-19 07:00:00,13.0,13.0,11.0,11.0,318
2024-12-20 07:00:00,10.5,11.0,10.5,11.0,911
2024-12-23 07:00:00,10.6,12.4,10.5,12.4,4162
2024-12-24 07:00:00,12.1,12.1,12.0,12.1,702
2024-12-25 07:00:00,13.9,13.9,13.0,13.0,270
2024-12-26 07:00:00,13.0,13.0,13.0,13.0,108
2024-12-27 07:00:00,14.8,14.8,13.1,13.5,602
2024-12-31 07:00:00,11.6,11.6,11.6,11.6,700
2025-01-02 07:00:00,9.9,13.0,9.9,13.0,401
2025-01-03 07:00:00,13.0,13.0,11.5,11.5,1500
